235,239,244,30468.655150349485
237,241,246,30661.790945364628
240,243,246,31288.788646112196
236,241,247,27863.112440060824
235,240,247,27892.878148499876
234,239,246,28689.041456105188
231,236,241,29907.962801781483
231,236,242,30026.319661416812
231,237,242,30259.86879414227
232,237,242,30447.89566307841
232,237,243,30700.98145717173
240,243,244,27991.699721999466
239,242,243,28352.558471609605
237,241,243,28366.36060325941
237,241,243,28740.993155430537
236,240,243,28981.993698796257
232,236,243,29851.413132442394
231,236,243,30403.089866303373
231,236,243,30299.623656777665
231,236,243,30939.012351719197
232,237,243,31038.15197221283
231,235,238,30368.0
232,235,239,30522.45969950594
232,236,241,30781.03726927447
233,237,241,28418.348631360568
233,237,242,28601.47660439834
233,238,242,29267.389199060155
232,223,206,55085.01688192785
232,224,205,56088.96382131148
242,237,226,45431.66786750592
241,236,226,48397.534876802936
241,237,225,50221.5005444265
243,238,226,49180.2242249907
236,230,211,48769.6959962924
234,228,215,54778.60613255855
235,230,217,56120.68720088806
234,227,214,56906.35632685013
232,226,212,57311.302068049554
233,227,214,57417.06533385161
239,234,218,54259.32084155083
238,232,215,54595.126670381054
238,232,215,55052.677109900396
239,232,216,56991.54208668601
238,232,219,49519.40280825645
238,232,218,50166.640183106996
238,231,216,50464.80930583365
237,231,214,50866.78778288746
239,233,217,51573.475839042105
231,227,213,53301.0
233,228,215,53627.0
231,227,214,53790.0
233,228,214,53887.348815118894
233,229,217,54559.220649598166
233,225,211,52601.731368955225
234,227,213,53401.288453548215
233,226,213,54380.85476213973
232,226,212,54915.64793793857
231,226,213,55515.60333712399
249,247,249,55930.0
249,247,249,56310.84978603758
249,248,249,55873.797560762614
249,248,249,57032.540376742836
249,248,249,57276.0
250,248,250,58086.762738763355
250,248,250,58467.40244336659
250,249,250,57782.92174429027
250,249,250,58319.81242111325
250,249,250,60114.260197715834
249,247,249,57855.176049381495
249,247,249,58158.7680409872
249,247,249,58516.605510412715
249,248,249,59202.99193024635
249,248,249,59648.07985292049
250,248,251,56843.18348894734
251,248,251,57186.07717416063
251,249,251,57617.399911191314
251,249,251,58067.834953039885
251,249,251,59920.399338155985
246,245,247,57078.11270161765
245,244,246,57859.632094809785
246,245,247,58069.827235589735
246,245,246,57719.254544007126
245,244,245,58465.83982521342
249,247,249,55891.53413577005
249,247,249,56404.28841754887
249,247,249,57813.62905060174
249,248,249,57677.24305288866
249,248,249,55705.729240207
244,233,184,65459.557182779536
245,234,186,67330.76193146221
246,236,190,67712.39444039762
247,239,197,68283.74054393638
248,242,203,65850.78591976129
251,246,189,67480.74247866496
251,245,190,65718.77834718488
251,245,191,63965.942083154805
250,244,193,62662.475100711454
250,244,194,60536.47599624004
245,238,195,50596.0
230,223,194,56110.28065797966
227,220,192,56800.31851558853
236,228,196,56754.63160054665
237,230,199,57334.87862205366
241,234,202,57925.23039050866
246,241,205,69615.29011812061
247,241,205,69662.888221025
246,241,206,67989.98272252036
246,242,207,65213.44183060527
247,242,206,62879.44342081575
246,241,206,50087.04373317491
240,232,197,57219.356089888606
241,233,198,60811.63865915034
241,234,197,61651.320267125964
242,234,195,62299.05616216175
243,235,194,62843.60783193447
247,239,196,62465.52970436495
251,247,224,67523.95222409628
250,246,224,67305.82814342435
250,246,224,67884.72991831228
250,246,224,69339.14747952577
249,245,222,69240.44686534815
246,240,207,56964.0
247,240,208,57368.0
247,240,208,57771.97894287296
247,239,208,58580.0
246,238,207,58984.0
246,239,215,47993.26229329081
246,238,214,48318.754907503724
245,239,215,48634.77693768032
246,239,216,48688.88608412817
246,239,216,49159.38309679134
251,242,217,47514.248120690696
251,243,218,47902.584672631696
251,243,218,48338.24184225267
251,243,217,48637.86492049787
251,244,217,49103.96726898104
251,243,216,40019.253848835826
251,242,212,40357.328014831524
252,243,216,40862.926524072886
251,243,215,41268.28319907375
252,243,217,41620.79583429685
249,242,220,44203.24407226266
249,242,219,44049.26743433811
249,243,219,44446.74458684027
249,243,219,44490.674355386756
248,242,216,44927.21958259866
250,243,220,46662.32069144398
250,243,219,47263.90028938651
